Frame,Camera,Status,PointIdx,X,Y,Radius,Metric
640,1,Filtered_Large,1,1048.106019,578.057471,4.1965,0.5
640,2,Filtered_Small,0,278.864082,514.013946,1.6408,0.5
640,2,Filtered_Large,1,301.820005,270.338814,3.8799,0.5
640,3,Filtered_Small,0,482.896740,185.252084,13.5765,0.5
640,3,Filtered_Large,1,515.046101,437.705252,13.2362,0.5
642,0,Filtered_Small,0,771.395255,177.328908,3.1768,0.5
642,0,Filtered_Large,1,735.966133,506.914230,4.0481,0.5
642,1,Filtered_Small,0,1073.902137,575.891337,4.1791,0.5
642,1,Filtered_Large,1,1058.662202,579.782928,4.2294,0.5
642,2,Filtered_Small,0,271.411409,515.437375,1.7057,0.5
642,2,Filtered_Large,1,294.879822,271.791816,3.7099,0.5
642,3,Filtered_Small,0,482.229760,186.756420,13.7956,0.5
642,3,Filtered_Large,1,513.581292,438.899591,13.5043,0.5
644,0,Filtered_Small,0,772.688151,178.952918,2.7596,0.5
644,0,Filtered_Large,1,738.336415,509.523240,3.7896,0.5
644,1,Filtered_Small,0,1084.136276,577.838896,4.5536,0.5
644,1,Filtered_Large,1,1069.051457,581.843729,4.4443,0.5
644,2,Filtered_Small,0,264.006763,516.794181,1.6217,0.5
644,2,Filtered_Large,1,288.014607,273.421915,3.8826,0.5
644,3,Filtered_Small,0,481.350858,188.522929,13.7374,0.5
644,3,Filtered_Large,1,511.882611,440.281354,13.2987,0.5
645,0,Filtered_Small,0,773.291494,179.470290,2.9295,0.5
645,0,Filtered_Large,1,739.415346,510.604409,3.8342,0.5
645,1,Filtered_Small,0,1089.659436,578.773713,4.2170,0.5
645,1,Filtered_Large,1,1074.743108,582.730418,4.4725,0.5
645,2,Filtered_Small,0,260.166859,517.287020,1.5290,0.5
645,2,Filtered_Large,1,284.432180,274.098379,3.9736,0.5
645,3,Filtered_Small,0,480.985809,189.274972,13.6836,0.5
645,3,Filtered_Large,1,511.120501,440.871400,13.4024,0.5
656,0,Filtered_Small,0,775.097592,177.002755,2.9763,0.5
656,0,Filtered_Large,1,744.870398,512.961661,4.0851,0.5
656,1,Filtered_Small,0,1096.478346,286.888780,3.4105,0.5
656,1,Filtered_Large,1,1147.587515,582.448975,3.9057,0.5
656,2,Filtered_Small,0,222.110150,516.466922,1.5363,0.5
656,2,Filtered_Large,1,248.560495,274.962108,3.8801,0.5
656,3,Filtered_Small,0,480.729750,190.608990,13.6891,0.5
656,3,Filtered_Large,1,507.285129,439.382659,13.3565,0.5
657,0,Filtered_Small,0,773.764371,176.067643,2.8067,0.5
657,0,Filtered_Large,1,743.938939,512.764073,4.0021,0.5
657,1,Filtered_Small,0,1100.381852,286.998821,3.6531,0.5
657,1,Filtered_Large,1,1151.884137,582.367783,3.9298,0.5
657,2,Filtered_Small,0,219.596953,515.710072,1.8712,0.5
657,2,Filtered_Large,1,246.050096,274.835577,4.2835,0.5
657,3,Filtered_Small,0,481.631787,190.425277,13.6323,0.5
657,3,Filtered_Large,1,507.942436,438.874344,13.3712,0.5
659,0,Filtered_Small,0,771.657948,175.061450,2.6778,0.5
659,0,Filtered_Large,1,742.020944,512.421161,3.9055,0.5
659,1,Filtered_Small,0,1107.796088,285.758364,3.4395,0.5
659,1,Filtered_Large,1,1159.634324,582.057364,4.1334,0.5
659,2,Filtered_Small,0,215.013674,515.106865,1.5455,0.5
659,2,Filtered_Large,1,241.782767,274.430706,3.8585,0.5
659,3,Filtered_Small,0,483.372916,190.047241,13.5633,0.5
659,3,Filtered_Large,1,509.280510,437.985200,13.4022,0.5
660,0,Filtered_Small,0,770.573508,174.331762,2.7518,0.5
660,0,Filtered_Large,1,741.192003,512.457758,3.8950,0.5
660,1,Filtered_Small,0,1111.511883,285.638007,3.3887,0.5
660,1,Filtered_Large,1,1163.396045,582.052173,4.0611,0.5
660,2,Filtered_Small,0,212.957447,514.681569,1.6651,0.5
660,2,Filtered_Large,1,239.680351,274.210511,3.7482,0.5
660,3,Filtered_Small,0,484.182556,190.045449,13.5304,0.5
660,3,Filtered_Large,1,509.896406,437.779699,13.3398,0.5
661,0,Filtered_Small,0,769.623849,174.135744,2.6542,0.5
661,0,Filtered_Large,1,740.370065,512.723558,3.7011,0.5
661,1,Filtered_Small,0,1114.824817,285.388015,3.4917,0.5
661,1,Filtered_Large,1,1167.132561,582.015485,3.9926,0.5
661,2,Filtered_Small,0,210.854100,514.217388,1.6762,0.5
661,2,Filtered_Large,1,237.647762,274.221553,3.7674,0.5
661,3,Filtered_Small,0,484.912873,190.036981,13.5039,0.5
661,3,Filtered_Large,1,510.501273,437.571304,13.2050,0.5
662,0,Filtered_Small,0,768.927733,173.721330,2.9157,0.5
662,0,Filtered_Large,1,739.683882,512.811743,3.9028,0.5
662,1,Filtered_Small,0,1118.068919,285.215296,3.3844,0.5
662,1,Filtered_Large,1,1170.660473,582.277520,4.1974,0.5
662,2,Filtered_Small,0,208.902522,513.812991,1.6410,0.5
662,2,Filtered_Large,1,235.455686,274.359255,4.0304,0.5
662,3,Filtered_Small,0,485.533692,190.034167,13.7696,0.5
662,3,Filtered_Large,1,510.982823,437.299559,13.3263,0.5
677,0,Filtered_Small,0,771.890400,174.205619,2.8774,0.5
677,0,Filtered_Large,1,745.352298,518.141990,3.8243,0.5
677,1,Filtered_Small,0,1167.817421,287.594186,3.4464,0.5
677,1,Filtered_Large,1,1222.944866,585.657335,4.2011,0.5
677,2,Filtered_Small,0,174.534865,515.795593,1.8467,0.5
677,2,Filtered_Large,1,202.932074,277.677231,4.1401,0.5
677,3,Filtered_Small,0,484.014424,193.713516,13.3139,0.5
677,3,Filtered_Large,1,507.061507,438.239818,13.0299,0.5
680,0,Filtered_Small,0,776.965933,176.372604,2.7643,0.5
680,0,Filtered_Large,1,751.059195,520.738559,3.9712,0.5
680,1,Filtered_Small,0,1176.498245,289.608469,3.3169,0.5
680,1,Filtered_Large,1,1232.101764,587.945108,4.2262,0.5
680,2,Filtered_Small,0,167.908691,517.551472,1.6113,0.5
680,2,Filtered_Large,1,196.361156,279.585178,4.1213,0.5
680,3,Filtered_Small,0,480.508777,195.510463,13.2484,0.5
680,3,Filtered_Large,1,503.140306,439.792589,13.0976,0.5
683,0,Filtered_Small,0,782.446822,179.842464,3.0396,0.5
683,0,Filtered_Large,1,757.129136,524.497349,4.1998,0.5
683,1,Filtered_Small,0,1181.950999,292.653954,3.4583,0.5
683,1,Filtered_Large,1,1237.870347,591.088356,4.1288,0.5
683,2,Filtered_Small,0,163.015258,519.811062,1.6217,0.5
683,2,Filtered_Large,1,191.545788,281.736176,4.2342,0.5
683,3,Filtered_Small,0,476.801065,197.951527,13.3073,0.5
683,3,Filtered_Large,1,499.060385,442.303114,13.0426,0.5
685,0,Filtered_Small,0,784.531195,182.268310,2.6981,0.5
685,0,Filtered_Large,1,759.357630,527.031234,3.8349,0.5
685,1,Filtered_Small,0,1182.206155,294.533411,3.3454,0.5
685,1,Filtered_Large,1,1238.399653,594.659247,4.0714,0.5
685,2,Filtered_Small,0,162.429206,521.589138,1.8508,0.5
685,2,Filtered_Large,1,190.892252,283.714364,4.3129,0.5
685,3,Filtered_Small,0,475.219847,199.631283,13.3881,0.5
685,3,Filtered_Large,1,497.367350,444.249289,13.0508,0.5
686,0,Filtered_Small,0,785.015004,183.200797,2.5971,0.5
686,0,Filtered_Large,1,759.967206,528.261506,3.8747,0.5
686,1,Filtered_Small,0,1181.500587,295.716394,3.3991,0.5
686,1,Filtered_Large,1,1236.846477,594.585711,4.2983,0.5
686,2,Filtered_Small,0,163.006593,522.803469,1.6217,0.5
686,2,Filtered_Large,1,191.378840,284.425382,3.9728,0.5
686,3,Filtered_Small,0,474.700599,200.553851,13.5464,0.5
686,3,Filtered_Large,1,496.935877,445.361509,13.1824,0.5
687,0,Filtered_Small,0,785.640485,185.001995,2.6866,0.5
687,0,Filtered_Large,1,760.325503,529.742034,3.7482,0.5
687,1,Filtered_Small,0,1180.057575,297.129649,3.2780,0.5
687,1,Filtered_Large,1,1235.469838,596.462304,4.1717,0.5
687,2,Filtered_Small,0,163.914360,523.523056,1.6869,0.5
687,2,Filtered_Large,1,191.995379,285.574619,4.2757,0.5
687,3,Filtered_Small,0,474.426360,201.583181,13.3550,0.5
687,3,Filtered_Large,1,496.634633,446.567124,12.9986,0.5
688,0,Filtered_Small,0,785.971104,186.541516,2.8865,0.5
688,0,Filtered_Large,1,760.685785,531.057722,3.9513,0.5
688,1,Filtered_Small,0,1178.112923,298.789394,3.4533,0.5
688,1,Filtered_Large,1,1233.146207,597.851983,4.2272,0.5
688,2,Filtered_Small,0,165.014739,524.817715,1.6217,0.5
688,2,Filtered_Large,1,193.295706,286.422494,4.0237,0.5
688,3,Filtered_Small,0,474.060437,202.652419,13.4082,0.5
688,3,Filtered_Large,1,496.360842,447.860955,13.0733,0.5
690,0,Filtered_Small,0,786.275738,189.595564,2.7360,0.5
690,0,Filtered_Large,1,761.030505,534.600138,3.7459,0.5
690,1,Filtered_Small,0,1172.920394,301.489594,3.4537,0.5
690,1,Filtered_Large,1,1227.417738,600.667384,4.3149,0.5
690,2,Filtered_Small,0,168.506020,527.807865,1.6588,0.5
690,2,Filtered_Large,1,196.552760,288.575240,3.8494,0.5
690,3,Filtered_Small,0,473.634152,204.986059,13.3308,0.5
690,3,Filtered_Large,1,496.126166,450.745348,13.0707,0.5
691,0,Filtered_Small,0,786.313035,191.316622,2.8883,0.5
691,0,Filtered_Large,1,760.907064,536.239386,3.9991,0.5
691,1,Filtered_Small,0,1169.716941,302.807298,3.5094,0.5
691,1,Filtered_Large,1,1223.685106,601.889098,4.4255,0.5
691,2,Filtered_Small,0,170.629852,529.348351,1.8712,0.5
691,2,Filtered_Large,1,198.299581,289.891367,4.3342,0.5
691,3,Filtered_Small,0,473.626896,206.073026,13.5296,0.5
691,3,Filtered_Large,1,496.192010,452.156831,13.2331,0.5
692,0,Filtered_Small,0,785.981445,192.480841,3.1193,0.5
692,0,Filtered_Large,1,760.541127,537.924652,4.1475,0.5
692,1,Filtered_Small,0,1166.006712,304.351116,3.5223,0.5
692,1,Filtered_Large,1,1219.729053,603.292175,4.2815,0.5
692,2,Filtered_Small,0,173.067214,530.431394,1.5915,0.5
692,2,Filtered_Large,1,200.846182,290.759563,4.2209,0.5
692,3,Filtered_Small,0,473.873546,207.099556,13.4325,0.5
692,3,Filtered_Large,1,496.608254,453.520916,13.1962,0.5
701,0,Filtered_Small,0,766.545193,204.301839,3.0706,0.5
701,0,Filtered_Large,1,736.573296,547.562683,4.0268,0.5
701,1,Filtered_Small,0,1118.803370,312.053263,3.5160,0.5
701,1,Filtered_Large,1,1167.525476,611.153429,4.4610,0.5
701,2,Filtered_Small,0,210.777723,538.637668,1.6994,0.5
701,2,Filtered_Large,1,234.509453,297.266708,5.6510,0.5
701,3,Filtered_Small,0,487.833790,212.965445,13.5991,0.5
701,3,Filtered_Large,1,513.674116,462.124356,13.3587,0.5
703,0,Filtered_Small,0,760.587778,206.263254,2.8143,0.5
703,0,Filtered_Large,1,729.481257,548.788248,3.8534,0.5
703,1,Filtered_Small,0,1105.838350,313.405953,3.4917,0.5
703,1,Filtered_Large,1,1153.463594,612.126425,4.0850,0.5
703,2,Filtered_Small,0,221.341630,539.721290,1.7590,0.5
703,2,Filtered_Large,1,245.031961,297.408967,4.1648,0.5
703,3,Filtered_Small,0,492.076594,213.861187,13.8868,0.5
703,3,Filtered_Large,1,518.805823,463.785473,13.4787,0.5
718,0,Filtered_Small,0,753.711976,213.862434,2.8747,0.5
718,0,Filtered_Large,1,716.775309,551.658921,3.7708,0.5
718,1,Filtered_Small,0,1049.157700,617.603599,3.8969,0.5
718,1,Filtered_Large,1,1064.483817,614.374800,4.0913,0.5
