Frame,Camera,Status,PointIdx,X,Y,Radius,Metric
1106,2,Raw,1,444.1657,806.9845,10.0000,0.0000
1106,3,Raw,0,571.4158,197.5751,10.0000,0.0000
1106,3,Raw,1,565.8679,750.9278,10.0000,0.0000
1107,0,Raw,0,526.6324,201.4365,10.0000,0.0000
1107,0,Raw,1,538.3621,944.6552,10.0000,0.0000
1107,1,Raw,0,841.7911,299.7453,10.0000,0.0000
1107,1,Raw,1,911.4268,952.0748,10.0000,0.0000
1107,2,Raw,0,504.6881,270.6483,10.0000,0.0000
1107,2,Raw,1,448.4902,806.4342,10.0000,0.0000
1107,3,Raw,0,575.6272,198.0382,10.0000,0.0000
1107,3,Raw,1,571.5868,750.6885,10.0000,0.0000
1108,0,Raw,0,521.4842,201.6495,10.0000,0.0000
1108,0,Raw,1,530.6363,944.6372,10.0000,0.0000
1108,1,Raw,0,837.8964,299.9373,10.0000,0.0000
1108,1,Raw,1,907.4803,952.1900,10.0000,0.0000
1108,2,Raw,0,508.1124,270.9813,10.0000,0.0000
1108,2,Raw,1,452.6946,806.0507,10.0000,0.0000
1108,3,Raw,0,579.6437,198.2740,10.0000,0.0000
1108,3,Raw,1,577.2677,750.5192,10.0000,0.0000
1110,0,Raw,0,511.8518,202.0581,10.0000,0.0000
1110,0,Raw,1,516.6386,944.2224,10.0000,0.0000
1110,1,Raw,0,830.7834,299.8318,10.0000,0.0000
1110,1,Raw,1,900.3402,952.0955,10.0000,0.0000
1110,2,Raw,0,514.0351,271.4618,10.0000,0.0000
1110,2,Raw,1,460.2409,804.9524,10.0000,0.0000
1110,3,Raw,0,587.0795,198.3375,10.0000,0.0000
1110,3,Raw,1,587.3960,749.6310,10.0000,0.0000
1111,0,Raw,0,507.3214,201.7215,10.0000,0.0000
1111,0,Raw,1,509.8178,943.2199,10.0000,0.0000
1111,1,Raw,0,827.6808,299.3849,10.0000,0.0000
1111,1,Raw,1,896.9666,951.8350,10.0000,0.0000
1111,2,Raw,0,518.1451,270.9776,10.0000,0.0000
1111,2,Raw,1,463.9139,803.8413,10.0000,0.0000
1111,3,Raw,0,590.5900,198.1246,10.0000,0.0000
1111,3,Raw,1,592.1061,748.8706,10.0000,0.0000
1116,0,Raw,0,484.0449,197.9264,10.0000,0.0000
1116,0,Raw,1,475.9286,937.1435,10.0000,0.0000
1116,1,Raw,0,812.0575,295.0435,10.0000,0.0000
1116,1,Raw,1,881.0102,947.9423,10.0000,0.0000
1116,2,Raw,0,530.5740,268.0074,10.0000,0.0000
1116,2,Raw,1,479.3147,797.0150,10.0000,0.0000
1116,3,Raw,0,608.6137,194.8389,10.0000,0.0000
1116,3,Raw,1,616.8453,742.4653,10.0000,0.0000
1121,0,Raw,0,466.4948,189.5537,10.0000,0.0000
